Zip Code,bars,restaurants,laundry,pizza,hospitals,coffee,boutique,clothing,education,arts
10453,0.33340000000000003,1.9324,0.8113999999999999,0.5574,0.21180000000000004,0.4822,0.0,0.3608,0.077,0.3182
10458,2.3,2.7988000000000004,0.1958,2.4976000000000003,1.6312000000000002,2.5024,0.1506,0.46640000000000004,0.3642,0.6988
10451,2.170000000000001,2.3076000000000003,0.5187999999999999,1.8542,0.39320000000000005,1.1827999999999999,0.0,0.6148,0.24100000000000002,0.3164
10454,0.5332000000000001,2.1500000000000004,0.030200000000000005,0.39339999999999997,0.3846,0.483,0.0,0.24180000000000001,0.19660000000000002,0.27640000000000003
10463,2.1427999999999994,2.625,1.4100000000000001,2.126,0.351,2.2974000000000006,0.1358,1.6393999999999997,0.6408,1.5562
10466,0.0,0.9471999999999999,0.0,0.1506,0.0,0.030200000000000005,0.0,0.0,0.030200000000000005,0.1502
10461,1.1246,2.4358000000000004,0.36179999999999995,1.7472,0.1506,1.3398000000000003,0.27080000000000004,0.41180000000000005,0.21059999999999998,0.9952
11212,0.34759999999999996,2.403,0.10559999999999999,0.684,0.1356,0.6796,0.0,0.271,0.10559999999999999,0.12020000000000002
11209,2.6041999999999996,2.8932000000000007,1.4869999999999997,2.3345999999999996,0.7626000000000001,2.5236,1.189,1.7754,1.3251999999999997,2.3418
11204,1.4222,2.3681999999999994,0.9483999999999998,2.0613999999999995,0.1502,2.214800000000001,0.12320000000000002,0.3804,0.9667999999999999,1.5512000000000001
11234,0.12100000000000002,0.12100000000000002,0.0,0.0,0.0,0.1416,0.0,0.1416,0.0,0.06260000000000002
11223,2.216,2.5726,0.2414,2.2752000000000003,0.3188,2.332,0.3342,0.753,0.3764,1.1928000000000003
11201,2.5450000000000004,3.0002000000000004,1.1603999999999999,2.5454,2.1526000000000005,2.6604,2.4224,2.3974000000000006,2.4766,2.7974
11203,0.5200000000000001,2.2950000000000004,0.0,0.5102,0.31639999999999996,0.173,0.2284,0.36079999999999995,0.6634,0.527
11207,0.1878,1.7735999999999996,0.2104,0.386,0.0,0.082,0.0,0.0,0.0904,0.1502
11211,3.0702,3.5380000000000003,2.0382000000000002,2.4970000000000008,0.5808,2.8370000000000006,2.6260000000000003,2.7093999999999996,2.0924000000000005,2.8046
